id,WEALTH,PRIORS,Long,Lat
ACCIAIUOLI,10,53,11.2527999,43.7693350
ALBIZZI,36,65,11.2613574,43.7713742
RIDOLFI,27,38,11.2490879,43.7668775
STROZZI,146,74,11.2517612,43.7712730
BARBADORI,55,0,11.2519451,43.7674373
BISCHERI,44,12,11.2562363,43.7734480
CASTELLANI,20,22,11.2559089,43.7677609
GUADAGNI,8,21,11.2471986,43.7661056
LAMBERTESCHI,42,0,11.2514706,43.7695604
MEDICI,103,53,11.2557749,43.7751902
PAZZI,48,0,11.2580265,43.7712616
PERUZZI,49,42,11.2596432,43.7686611
SALVIATI,10,35,11.2601959,43.7701154
TORNABUONI,48,0,11.2517663,43.7715829
GINORI,32,0,11.2564236,43.7758965
PUCCI,3,0,11.2574979,43.7744892
